location,year,price
Tennessee,2014,596.0833333333334
Tennessee,2015,611.7083333333334
Tennessee,2016,627.75
Tennessee,2017,643.125
Texas,2014,713.25
Texas,2015,738.875
Texas,2016,759.3333333333334
Texas,2017,770.4583333333334
Utah,2014,636.7083333333334
Utah,2015,651.6666666666666
Utah,2016,677.3333333333334
Utah,2017,705.5
Vermont,2014,845.5833333333334
Vermont,2015,891.0
Vermont,2016,902.0454545454545
Vermont,2017,900.0833333333334
Virginia,2014,955.2083333333334
Virginia,2015,968.8333333333334
Virginia,2016,990.8333333333334
Virginia,2017,1005.0
Washington,2014,887.2916666666666
Washington,2015,943.5
Washington,2016,1014.3333333333334
Washington,2017,1064.2083333333333
West Virginia,2014,575.4166666666666
West Virginia,2015,579.875
West Virginia,2016,574.25
West Virginia,2017,574.0
Wisconsin,2014,591.7083333333334
Wisconsin,2015,602.125
Wisconsin,2016,611.5
Wisconsin,2017,622.375
Wyoming,2014,589.2916666666666
Wyoming,2015,593.8333333333334
Wyoming,2016,580.0833333333334
Wyoming,2017,576.5833333333334
