Chronically Homeless,Chronically Homeless Individuals,Chronically Homeless People in Families,Homeless Children of Parenting Youth,Homeless Family Households,Homeless Individuals,Homeless Parenting Youth (Under 25),Homeless Parenting Youth Age 18-24,Homeless Parenting Youth Under 18,Homeless People in Families,Homeless Unaccompanied Youth (Under 25),Homeless Unaccompanied Youth Age 18-24,Homeless Unaccompanied Youth Under 18,Homeless Veterans,Number of CoCs,Overall Homeless,Sheltered ES Chronically Homeless,Sheltered ES Chronically Homeless Individuals,Sheltered ES Chronically Homeless People in Families,Sheltered ES Homeless,Sheltered ES Homeless Children of Parenting Youth,Sheltered ES Homeless Family Households,Sheltered ES Homeless Individuals,Sheltered ES Homeless Parenting Youth (Under 25),Sheltered ES Homeless Parenting Youth Age 18-24,Sheltered ES Homeless Parenting Youth Under 18,Sheltered ES Homeless People in Families,Sheltered ES Homeless Unaccompanied Youth (Under 25),Sheltered ES Homeless Unaccompanied Youth Age 18-24,Sheltered ES Homeless Unaccompanied Youth Under 18,Sheltered ES Homeless Veterans,Sheltered SH Chronically Homeless,Sheltered SH Chronically Homeless Individuals,Sheltered SH Homeless,Sheltered SH Homeless Individuals,Sheltered SH Homeless Unaccompanied Youth (Under 25),Sheltered SH Homeless Unaccompanied Youth Age 18-24,Sheltered SH Homeless Unaccompanied Youth Under 18,Sheltered SH Homeless Veterans,Sheltered TH Homeless,Sheltered TH Homeless Children of Parenting Youth,Sheltered TH Homeless Family Households,Sheltered TH Homeless Individuals,Sheltered TH Homeless Parenting Youth (Under 25),Sheltered TH Homeless Parenting Youth Age 18-24,Sheltered TH Homeless Parenting Youth Under 18,Sheltered TH Homeless People in Families,Sheltered TH Homeless Unaccompanied Youth (Under 25),Sheltered TH Homeless Unaccompanied Youth Age 18-24,Sheltered TH Homeless Unaccompanied Youth Under 18,Sheltered TH Homeless Veterans,Sheltered Total Chronically Homeless,Sheltered Total Chronically Homeless Individuals,Sheltered Total Chronically Homeless People in Families,Sheltered Total Homeless,Sheltered Total Homeless Children of Parenting Youth,Sheltered Total Homeless Family Households,Sheltered Total Homeless Individuals,Sheltered Total Homeless Parenting Youth (Under 25),Sheltered Total Homeless Parenting Youth Age 18-24,Sheltered Total Homeless Parenting Youth Under 18,Sheltered Total Homeless People in Families,Sheltered Total Homeless Unaccompanied Youth (Under 25),Sheltered Total Homeless Unaccompanied Youth Age 18-24,Sheltered Total Homeless Unaccompanied Youth Under 18,Sheltered Total Homeless Veterans,State,Unsheltered Chronically Homeless,Unsheltered Chronically Homeless Individuals,Unsheltered Chronically Homeless People in Families,Unsheltered Homeless,Unsheltered Homeless Children of Parenting Youth,Unsheltered Homeless Family Households,Unsheltered Homeless Individuals,Unsheltered Homeless Parenting Youth (Under 25),Unsheltered Homeless Parenting Youth Age 18-24,Unsheltered Homeless Parenting Youth Under 18,Unsheltered Homeless People in Families,Unsheltered Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth Age 18-24,Unsheltered Homeless Unaccompanied Youth Under 18,Unsheltered Homeless Veterans,year
369.0,349,20.0,44.0,286,2735,36.0,36.0,0.0,953,193.0,174.0,19.0,369,3,3688,279.0,262.0,17.0,2340,32.0,208,1650,26.0,26.0,0.0,690,123.0,104.0,19.0,118.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,480,11.0,54,306,9.0,9.0,0.0,174,18.0,18.0,0.0,190.0,279.0,262,17.0,2820,43.0,262,1956,35.0,35.0,0.0,864,141.0,122.0,19.0,308,KY,90.0,87,3.0,868,1.0,24,779,1.0,1.0,0.0,89,52.0,52.0,0.0,61,2018
476.0,467,9.0,38.0,164,2540,28.0,28.0,0.0,519,214.0,186.0,28.0,406,7,3059,142.0,133.0,9.0,1163,29.0,105,839,22.0,22.0,0.0,324,118.0,96.0,22.0,110.0,14.0,14.0,36,36,0.0,0.0,0.0,25.0,795,9.0,51,627,6.0,6.0,0.0,168,54.0,48.0,6.0,227.0,156.0,147,9.0,1994,38.0,156,1502,28.0,28.0,0.0,492,172.0,144.0,28.0,362,LA,320.0,320,0.0,1065,0.0,8,1038,0.0,0.0,0.0,27,42.0,42.0,0.0,44,2018
2122.0,1373,749.0,896.0,4149,6811,615.0,595.0,20.0,13257,465.0,462.0,3.0,985,15,20068,1770.0,1021.0,749.0,16855,805.0,3861,4394,551.0,533.0,18.0,12461,262.0,260.0,2.0,226.0,33.0,33.0,80,80,0.0,0.0,0.0,40.0,2148,91.0,287,1354,64.0,62.0,2.0,794,111.0,111.0,0.0,668.0,1803.0,1054,749.0,19083,896.0,4148,5828,615.0,595.0,20.0,13255,373.0,371.0,2.0,934,MA,319.0,319,0.0,985,0.0,1,983,0.0,0.0,0.0,2,92.0,91.0,1.0,51,2018
1409.0,1259,150.0,120.0,699,4914,94.0,94.0,0.0,2230,267.0,258.0,9.0,574,16,7144,677.0,565.0,112.0,3603,56.0,415,2298,45.0,45.0,0.0,1305,130.0,124.0,6.0,170.0,43.0,43.0,77,77,1.0,1.0,0.0,14.0,1700,55.0,225,1007,42.0,42.0,0.0,693,44.0,44.0,0.0,286.0,720.0,608,112.0,5380,111.0,640,3382,87.0,87.0,0.0,1998,175.0,169.0,6.0,470,MD,689.0,651,38.0,1764,9.0,59,1532,7.0,7.0,0.0,232,92.0,89.0,3.0,104,2018
215.0,198,17.0,26.0,341,1450,21.0,20.0,1.0,1066,152.0,139.0,13.0,119,1,2516,204.0,187.0,17.0,1012,9.0,114,644,6.0,6.0,0.0,368,60.0,53.0,7.0,50.0,10.0,10.0,15,15,0.0,0.0,0.0,1.0,1391,17.0,225,700,15.0,14.0,1.0,691,83.0,77.0,6.0,55.0,214.0,197,17.0,2418,26.0,339,1359,21.0,20.0,1.0,1059,143.0,130.0,13.0,106,ME,1.0,1,0.0,98,0.0,2,91,0.0,0.0,0.0,7,9.0,9.0,0.0,13,2018
861.0,756,105.0,286.0,965,5209,198.0,197.0,1.0,3142,604.0,508.0,96.0,693,21,8351,669.0,575.0,94.0,5499,163.0,623,3426,107.0,107.0,0.0,2073,352.0,285.0,67.0,251.0,8.0,8.0,72,72,3.0,3.0,0.0,52.0,1881,118.0,315,892,86.0,85.0,1.0,989,179.0,158.0,21.0,343.0,677.0,583,94.0,7452,281.0,938,4390,193.0,192.0,1.0,3062,534.0,446.0,88.0,646,MI,184.0,173,11.0,899,5.0,27,819,5.0,5.0,0.0,80,70.0,62.0,8.0,47,2018
1066.0,970,96.0,245.0,979,3993,201.0,194.0,7.0,3250,709.0,613.0,96.0,301,10,7243,701.0,620.0,81.0,3855,53.0,466,2168,38.0,36.0,2.0,1687,246.0,195.0,51.0,139.0,11.0,11.0,16,16,0.0,0.0,0.0,2.0,2251,185.0,469,835,155.0,150.0,5.0,1416,315.0,288.0,27.0,109.0,712.0,631,81.0,6122,238.0,935,3019,193.0,186.0,7.0,3103,561.0,483.0,78.0,250,MN,354.0,339,15.0,1121,7.0,44,974,8.0,8.0,0.0,147,148.0,130.0,18.0,51,2018
1043.0,819,224.0,155.0,706,3776,127.0,123.0,4.0,2107,534.0,435.0,99.0,507,8,5883,617.0,416.0,201.0,3262,73.0,438,1920,58.0,56.0,2.0,1342,193.0,138.0,55.0,197.0,38.0,38.0,38,38,0.0,0.0,0.0,19.0,1369,80.0,246,676,67.0,65.0,2.0,693,237.0,205.0,32.0,199.0,655.0,454,201.0,4669,153.0,684,2634,125.0,121.0,4.0,2035,430.0,343.0,87.0,415,MO,388.0,365,23.0,1214,2.0,22,1142,2.0,2.0,0.0,72,104.0,92.0,12.0,92,2018
0.0,0,0.0,0.0,151,357,0.0,0.0,0.0,687,2.0,2.0,0.0,0,1,1044,0.0,0.0,0.0,22,0.0,0,22,0.0,0.0,0.0,0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,22,0.0,0,22,0.0,0.0,0.0,0,2.0,2.0,0.0,0,MP,0.0,0,0.0,1022,0.0,151,335,0.0,0.0,0.0,687,0.0,0.0,0.0,0,2018
279.0,255,24.0,20.0,112,1024,19.0,19.0,0.0,328,87.0,79.0,8.0,102,3,1352,60.0,40.0,20.0,404,13.0,50,261,13.0,13.0,0.0,143,31.0,24.0,7.0,10.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,327,4.0,45,200,3.0,3.0,0.0,127,4.0,4.0,0.0,27.0,60.0,40,20.0,731,17.0,95,461,16.0,16.0,0.0,270,35.0,28.0,7.0,37,MS,219.0,215,4.0,621,3.0,17,563,3.0,3.0,0.0,58,52.0,51.0,1.0,65,2018
200.0,183,17.0,42.0,134,983,24.0,24.0,0.0,422,119.0,111.0,8.0,198,1,1405,112.0,97.0,15.0,793,29.0,78,541,14.0,14.0,0.0,252,69.0,67.0,2.0,58.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,239,11.0,34,141,8.0,8.0,0.0,98,23.0,20.0,3.0,67.0,112.0,97,15.0,1032,40.0,112,682,22.0,22.0,0.0,350,92.0,87.0,5.0,125,MT,88.0,86,2.0,373,2.0,22,301,2.0,2.0,0.0,72,27.0,24.0,3.0,73,2018
1293.0,1175,118.0,159.0,897,6451,113.0,111.0,2.0,2817,478.0,435.0,43.0,884,12,9268,731.0,674.0,57.0,5289,98.0,546,3577,64.0,64.0,0.0,1712,269.0,240.0,29.0,370.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1529,31.0,179,944,24.0,22.0,2.0,585,65.0,51.0,14.0,365.0,731.0,674,57.0,6818,129.0,725,4521,88.0,86.0,2.0,2297,334.0,291.0,43.0,735,NC,562.0,501,61.0,2450,30.0,172,1930,25.0,25.0,0.0,520,144.0,144.0,0.0,149,2018
76.0,69,7.0,12.0,27,467,7.0,5.0,2.0,75,65.0,56.0,9.0,9,1,542,76.0,69.0,7.0,339,10.0,13,306,5.0,3.0,2.0,33,13.0,8.0,5.0,9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,155,2.0,14,113,2.0,2.0,0.0,42,45.0,41.0,4.0,0.0,76.0,69,7.0,494,12.0,27,419,7.0,5.0,2.0,75,58.0,49.0,9.0,9,ND,0.0,0,0.0,48,0.0,0,48,0.0,0.0,0.0,0,7.0,7.0,0.0,0,2018
455.0,380,75.0,34.0,236,1745,36.0,36.0,0.0,676,157.0,143.0,14.0,171,3,2421,398.0,325.0,73.0,1736,15.0,158,1272,12.0,12.0,0.0,464,94.0,86.0,8.0,97.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,541,19.0,76,336,24.0,24.0,0.0,205,50.0,44.0,6.0,71.0,398.0,325,73.0,2277,34.0,234,1608,36.0,36.0,0.0,669,144.0,130.0,14.0,168,NE,57.0,55,2.0,144,0.0,2,137,0.0,0.0,0.0,7,13.0,13.0,0.0,3,2018
161.0,141,20.0,36.0,215,835,32.0,32.0,0.0,615,81.0,81.0,0.0,143,3,1450,98.0,85.0,13.0,812,13.0,93,543,12.0,12.0,0.0,269,35.0,35.0,0.0,43.0,0.0,0.0,8,8,0.0,0.0,0.0,3.0,476,23.0,117,142,20.0,20.0,0.0,334,25.0,25.0,0.0,90.0,98.0,85,13.0,1296,36.0,210,693,32.0,32.0,0.0,603,60.0,60.0,0.0,136,NH,63.0,56,7.0,154,0.0,5,142,0.0,0.0,0.0,12,21.0,21.0,0.0,7,2018
1286.0,1212,74.0,328.0,1093,6048,240.0,240.0,0.0,3350,518.0,483.0,35.0,555,16,9398,524.0,450.0,74.0,5805,219.0,769,3436,157.0,157.0,0.0,2369,302.0,281.0,21.0,150.0,14.0,14.0,19,19,0.0,0.0,0.0,2.0,1951,106.0,311,1015,81.0,81.0,0.0,936,137.0,126.0,11.0,318.0,538.0,464,74.0,7775,325.0,1080,4470,238.0,238.0,0.0,3305,439.0,407.0,32.0,470,NJ,748.0,748,0.0,1623,3.0,13,1578,2.0,2.0,0.0,45,79.0,76.0,3.0,85,2018
891.0,814,77.0,17.0,201,1949,13.0,13.0,0.0,602,182.0,109.0,73.0,290,2,2551,540.0,487.0,53.0,1368,8.0,120,1021,6.0,6.0,0.0,347,96.0,35.0,61.0,112.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,387,9.0,54,210,7.0,7.0,0.0,177,43.0,32.0,11.0,65.0,540.0,487,53.0,1755,17.0,174,1231,13.0,13.0,0.0,524,139.0,67.0,72.0,177,NM,351.0,327,24.0,796,0.0,27,718,0.0,0.0,0.0,78,43.0,42.0,1.0,113,2018
648.0,637,11.0,42.0,167,7058,35.0,32.0,3.0,486,1404.0,1176.0,228.0,723,3,7544,218.0,207.0,11.0,2183,28.0,125,1821,22.0,21.0,1.0,362,92.0,72.0,20.0,159.0,57.0,57.0,201,201,3.0,3.0,0.0,7.0,921,12.0,26,851,11.0,9.0,2.0,70,132.0,121.0,11.0,364.0,275.0,264,11.0,3305,40.0,151,2873,33.0,30.0,3.0,432,227.0,196.0,31.0,530,NV,373.0,373,0.0,4239,2.0,16,4185,2.0,2.0,0.0,54,1177.0,980.0,197.0,193,2018
7195.0,5829,1366.0,3270.0,16368,39827,2744.0,2735.0,9.0,52070,2941.0,2819.0,122.0,1224,26,91897,5522.0,4158.0,1364.0,82370,3158.0,15934,31571,2650.0,2647.0,3.0,50799,2089.0,2011.0,78.0,702.0,48.0,48.0,96,96,1.0,1.0,0.0,74.0,5137,106.0,422,3895,88.0,82.0,6.0,1242,590.0,554.0,36.0,408.0,5570.0,4206,1364.0,87603,3264.0,16356,35562,2738.0,2729.0,9.0,52041,2680.0,2566.0,114.0,1184,NY,1625.0,1623,2.0,4294,6.0,12,4265,6.0,6.0,0.0,29,261.0,253.0,8.0,40,2018
730.0,700,30.0,280.0,1015,6929,191.0,191.0,0.0,3320,686.0,635.0,51.0,749,9,10249,393.0,363.0,30.0,7234,173.0,737,4770,112.0,112.0,0.0,2464,442.0,397.0,45.0,286.0,32.0,32.0,92,92,0.0,0.0,0.0,42.0,1608,99.0,243,871,73.0,73.0,0.0,737,151.0,145.0,6.0,366.0,425.0,395,30.0,8934,272.0,980,5733,185.0,185.0,0.0,3201,593.0,542.0,51.0,694,OH,305.0,305,0.0,1315,8.0,35,1196,6.0,6.0,0.0,119,93.0,93.0,0.0,55,2018
