State,Number of CoCs,Overall Homeless ,Sheltered ES Homeless ,Sheltered TH Homeless ,Sheltered SH Homeless ,Sheltered Total Homeless ,Unsheltered Homeless ,Homeless Individuals ,Sheltered ES Homeless Individuals ,Sheltered TH Homeless Individuals ,Sheltered SH Homeless Individuals ,Sheltered Total Homeless Individuals ,Unsheltered Homeless Individuals ,Homeless People in Families ,Sheltered ES Homeless People in Families ,Sheltered TH Homeless People in Families ,Sheltered Total Homeless People in Families ,Unsheltered Homeless People in Families ,Homeless Family Households ,Sheltered ES Homeless Family Households ,Sheltered TH Homeless Family Households ,Sheltered Total Homeless Family Households ,Unsheltered Homeless Family Households ,Chronically Homeless ,Sheltered ES Chronically Homeless ,Sheltered SH Chronically Homeless ,Sheltered Total Chronically Homeless ,Unsheltered Chronically Homeless ,Chronically Homeless Individuals ,Sheltered ES Chronically Homeless Individuals ,Sheltered SH Chronically Homeless Individuals ,Sheltered Total Chronically Homeless Individuals ,Unsheltered Chronically Homeless Individuals ,Chronically Homeless People in Families ,Sheltered ES Chronically Homeless People in Families ,Sheltered Total Chronically Homeless People in Families ,Unsheltered Chronically Homeless People in Families ,Homeless Veterans ,Sheltered ES Homeless Veterans ,Sheltered TH Homeless Veterans ,Sheltered SH Homeless Veterans ,Sheltered Total Homeless Veterans ,Unsheltered Homeless Veterans ,Homeless Unaccompanied Youth (Under 25) ,Sheltered ES Homeless Unaccompanied Youth (Under 25) ,Sheltered TH Homeless Unaccompanied Youth (Under 25) ,Sheltered SH Homeless Unaccompanied Youth (Under 25) ,Sheltered Total Homeless Unaccompanied Youth (Under 25) ,Unsheltered Homeless Unaccompanied Youth (Under 25) ,Homeless Unaccompanied Youth Under 18 ,Sheltered ES Homeless Unaccompanied Youth Under 18 ,Sheltered TH Homeless Unaccompanied Youth Under 18 ,Sheltered SH Homeless Unaccompanied Youth Under 18 ,Sheltered Total Homeless Unaccompanied Youth Under 18 ,Unsheltered Homeless Unaccompanied Youth Under 18 ,Homeless Unaccompanied Youth Age 18-24 ,Sheltered ES Homeless Unaccompanied Youth Age 18-24 ,Sheltered TH Homeless Unaccompanied Youth Age 18-24 ,Sheltered SH Homeless Unaccompanied Youth Age 18-24 ,Sheltered Total Homeless Unaccompanied Youth Age 18-24 ,Unsheltered Homeless Unaccompanied Youth Age 18-24 ,Homeless Parenting Youth (Under 25) ,Sheltered ES Homeless Parenting Youth (Under 25) ,Sheltered TH Homeless Parenting Youth (Under 25) ,Sheltered Total Homeless Parenting Youth (Under 25) ,Unsheltered Homeless Parenting Youth (Under 25) ,Homeless Parenting Youth Under 18 ,Sheltered ES Homeless Parenting Youth Under 18 ,Sheltered TH Homeless Parenting Youth Under 18 ,Sheltered Total Homeless Parenting Youth Under 18 ,Unsheltered Homeless Parenting Youth Under 18 ,Homeless Parenting Youth Age 18-24 ,Sheltered ES Homeless Parenting Youth Age 18-24 ,Sheltered TH Homeless Parenting Youth Age 18-24 ,Sheltered Total Homeless Parenting Youth Age 18-24 ,Unsheltered Homeless Parenting Youth Age 18-24 ,Homeless Children of Parenting Youth ,Sheltered ES Homeless Children of Parenting Youth ,Sheltered TH Homeless Children of Parenting Youth ,Sheltered Total Homeless Children of Parenting Youth ,Unsheltered Homeless Children of Parenting Youth 
MD,16,"11,698","4,205","3,241",0,"7,446","4,252","6,641","2,686","1,937",0,"4,623","2,018","5,057","1,519","1,304","2,823","2,234","1,675",519,410,929,746,0,"2,062","1,243",0,"1,243",819,932,698,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,3,"2,444",843,"1,563",0,"2,406",38,"1,124",555,537,0,"1,092",32,"1,320",288,"1,026","1,314",6,445,99,344,443,2,0,186,178,0,178,8,123,119,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,22,"14,005","5,725","5,573",0,"11,298","2,707","7,857","3,783","2,236",0,"6,019","1,838","6,148","1,942","3,337","5,279",869,"2,012",652,"1,071","1,723",289,0,"1,649","1,171",0,"1,171",478,"1,054",877,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,11,"7,718","3,479","3,293",0,"6,772",946,"3,393","1,758",910,0,"2,668",725,"4,325","1,721","2,383","4,104",221,"1,362",530,768,"1,298",64,0,"1,449","1,129",0,"1,129",320,525,441,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,8,"6,959","2,894","2,575",0,"5,469","1,490","3,823","1,708","1,225",0,"2,933",890,"3,136","1,186","1,350","2,536",600,"1,031",399,453,852,179,0,892,691,0,691,201,699,569,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,3,"2,797",524,697,0,"1,221","1,576","1,843",261,394,0,655,"1,188",954,263,303,566,388,301,78,95,173,128,0,522,152,0,152,370,358,197,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,1,"1,196",404,429,0,833,363,752,268,213,0,481,271,444,136,216,352,92,133,40,71,111,22,0,160,107,0,107,53,206,128,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,12,"12,918","4,873","3,600",0,"8,473","4,445","9,159","3,450","2,126",0,"5,576","3,583","3,759","1,423","1,474","2,897",862,"1,184",461,449,910,274,0,"1,490","1,107",0,"1,107",383,"1,118",854,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,1,773,487,278,0,765,8,548,329,211,0,540,8,225,158,67,225,0,72,49,23,72,0,0,70,66,0,66,4,168,166,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,7,"3,718","1,593","1,486",0,"3,079",639,"2,072","1,056",691,0,"1,747",325,"1,646",537,795,"1,332",314,530,155,278,433,97,0,495,413,0,413,82,298,263,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,3,"1,645",892,514,0,"1,406",239,891,479,191,0,670,221,754,413,323,736,18,259,131,122,253,6,0,330,285,0,285,45,167,150,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,20,"13,169","7,602","4,269",0,"11,871","1,298","5,962","3,631","1,374",0,"5,005",957,"7,207","3,971","2,895","6,866",341,"2,498","1,376",998,"2,374",124,0,934,704,0,704,230,618,542,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,2,"3,475",985,"1,123",0,"2,108","1,367","2,343",637,465,0,"1,102","1,241","1,132",348,658,"1,006",126,304,68,184,252,52,0,779,341,0,341,438,408,226,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,3,"11,089","1,311","6,481",0,"7,792","3,297","9,394","1,046","5,097",0,"6,143","3,251","1,695",265,"1,384","1,649",46,438,78,346,424,14,0,"1,297",196,0,196,"1,101","1,936","1,329",607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,32,"61,067","46,894","10,560",0,"57,454","3,613","24,557","13,654","7,351",0,"21,005","3,552","36,510","33,240","3,209","36,449",61,"11,402","10,233","1,144","11,377",25,0,"4,280","2,272",0,"2,272","2,008","5,879","5,047",832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,9,"12,700","6,222","4,707",0,"10,929","1,771","7,774","4,235","2,195",0,"6,430","1,344","4,926","1,987","2,512","4,499",427,"1,648",660,860,"1,520",128,0,"2,303","1,838",0,"1,838",465,"1,390","1,185",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,8,"4,838","2,316",991,0,"3,307","1,531","3,227","1,644",541,0,"2,185","1,042","1,611",672,450,"1,122",489,545,226,166,392,153,0,654,538,0,538,116,475,416,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,8,"17,309","2,715","4,727",0,"7,442","9,867","10,443","1,838","2,154",0,"3,992","6,451","6,866",877,"2,573","3,450","3,416","2,233",288,850,"1,138","1,095",0,"2,842",919,0,919,"1,923","1,277",672,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,17,"15,096","6,954","6,865",0,"13,819","1,277","7,384","4,067","2,124",0,"6,191","1,193","7,712","2,887","4,741","7,628",84,"2,497",921,"1,545","2,466",31,0,"1,798","1,027",0,"1,027",771,"1,440","1,282",158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,2,"4,070",551,774,0,"1,325","2,745","3,730",443,690,0,"1,133","2,597",340,108,84,192,148,109,26,32,58,51,0,"2,195",661,0,661,"1,534",97,24,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,1,"1,607",819,737,0,"1,556",51,"1,139",616,472,0,"1,088",51,468,203,265,468,0,202,99,103,202,0,0,220,190,0,190,30,120,113,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,5,"4,473","1,577","1,459",0,"3,036","1,437","3,194","1,118",827,0,"1,945","1,249","1,279",459,632,"1,091",188,474,183,220,403,71,0,674,392,0,392,282,629,439,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,1,731,371,296,0,667,64,445,218,163,0,381,64,286,153,133,286,0,87,42,45,87,0,0,109,45,0,45,64,160,138,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,10,"10,532","4,468","2,665",0,"7,133","3,399","8,048","3,761","1,759",0,"5,520","2,528","2,484",707,906,"1,613",871,967,282,305,587,380,0,"2,632","1,498",0,"1,498","1,134","1,142",839,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,18,"36,761","12,672","8,986",0,"21,658","15,103","22,564","8,505","4,438",0,"12,943","9,621","14,197","4,167","4,548","8,715","5,482","5,282","1,424","1,512","2,936","2,346",0,"6,020","2,741",0,"2,741","3,279","5,491","2,735","2,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,3,"3,795","2,080","1,460",0,"3,540",255,"2,242","1,314",673,0,"1,987",255,"1,553",766,787,"1,553",0,537,246,291,537,0,0,700,445,0,445,255,166,110,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,22,"8,852","4,095","3,189",0,"7,284","1,568","5,066","2,671","1,192",0,"3,863","1,203","3,786","1,424","1,997","3,421",365,"1,247",475,642,"1,117",130,0,"1,621","1,034",0,"1,034",587,960,782,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,1,471,40,36,0,76,395,430,5,30,0,35,395,41,35,6,41,0,18,15,3,18,0,0,369,4,0,4,365,32,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,2,"1,214",595,462,0,"1,057",157,693,278,293,0,571,122,521,317,169,486,35,193,116,62,178,15,0,134,79,0,79,55,61,52,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,7,"22,782","6,714","9,523",0,"16,237","6,545","12,086","4,279","2,360",0,"6,639","5,447","10,696","2,435","7,163","9,598","1,098","3,465",784,"2,287","3,071",394,0,"2,609","1,608",0,"1,608","1,001","1,963","1,168",795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,4,"6,525","2,789","2,676",0,"5,465","1,060","3,161","1,622","1,111",0,"2,733",428,"3,364","1,167","1,565","2,732",632,"1,108",385,498,883,225,0,716,612,0,612,104,608,575,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,4,"1,667",793,485,0,"1,278",389,"1,101",579,269,0,848,253,566,214,216,430,136,177,73,65,138,39,0,337,239,0,239,98,271,177,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,1,515,185,266,0,451,64,340,120,162,0,282,58,175,65,104,169,6,72,19,51,70,2,0,79,30,0,30,49,117,95,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2,"1,863","1,013",658,0,"1,671",192,"1,118",641,312,0,953,165,745,372,346,718,27,244,113,123,236,8,0,164,119,0,119,45,300,270,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,8,"6,046","1,428","2,463",0,"3,891","2,155","4,553",997,"1,860",0,"2,857","1,696","1,493",431,603,"1,034",459,551,155,234,389,162,0,"1,043",502,0,502,541,"1,089",911,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,5,"2,762",668,"1,060",0,"1,728","1,034","2,120",542,770,0,"1,312",808,642,126,290,416,226,222,52,85,137,85,0,395,145,0,145,250,362,247,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,3,"13,711","3,503","3,671",40,"7,214","6,497","9,226","2,018","1,308",40,"3,366","5,860","4,485","1,485","2,363","3,848",637,"1,372",452,740,"1,192",180,25,"1,935",519,25,544,"1,391","2,230","1,052","1,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,43,"123,480","23,701","27,115",83,"50,899","72,581","96,940","16,992","15,227",83,"32,302","64,638","26,540","6,709","11,888","18,597","7,943","8,810","2,234","3,980","6,214","2,596",67,"31,235","6,897",67,"6,964","24,271","17,604","6,600","11,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,3,"15,482","4,895","4,136",0,"9,031","6,451","7,574","3,083","1,493",0,"4,576","2,998","7,908","1,812","2,643","4,455","3,453","2,234",541,812,"1,353",881,0,"1,432",510,0,510,922,"1,316",853,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,10,"4,316","2,314","1,503",0,"3,817",499,"2,993","1,635",876,0,"2,511",482,"1,323",679,627,"1,306",17,447,225,215,440,7,0,777,595,0,595,182,483,423,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,1,"6,539","3,584","2,512",13,"6,109",430,"4,016","2,593",980,13,"3,586",430,"2,523",991,"1,532","2,523",0,800,318,482,800,0,13,"2,110","1,710",13,"1,723",387,579,563,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,1,982,481,439,10,930,52,681,358,261,10,629,52,301,123,178,301,0,111,50,61,111,0,7,97,64,7,71,26,74,69,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,28,"57,551","10,242","11,478",97,"21,817","35,734","35,738","6,074","7,060",97,"13,231","22,507","21,813","4,168","4,418","8,586","13,227","8,017","1,487","1,387","2,874","5,143",85,"9,232","3,615",85,"3,700","5,532","7,794","2,818","4,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,7,"19,836","4,303","4,443",0,"8,746","11,090","14,377","3,146","2,466",0,"5,612","8,765","5,459","1,157","1,977","3,134","2,325","1,812",381,712,"1,093",719,0,"3,635","1,495",0,"1,495","2,140","2,766","1,372","1,394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GU,1,"1,635",56,126,0,182,"1,453",534,12,25,0,37,497,"1,101",44,101,145,956,172,10,22,32,140,0,28,1,0,1,27,27,5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,2,"5,834",994,"2,516",25,"3,535","2,299","2,889",462,457,25,944,"1,945","2,945",532,"2,059","2,591",354,764,151,524,675,89,19,801,77,19,96,705,419,176,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,3,"3,014","1,062","1,841",0,"2,903",111,"1,528",690,736,0,"1,426",102,"1,486",372,"1,105","1,477",9,481,123,354,477,4,0,249,182,0,182,67,221,207,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2,"2,346",796,768,0,"1,564",782,"1,445",532,299,0,831,614,901,264,469,733,168,287,88,154,242,45,0,111,37,0,37,74,239,128,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,21,"14,395","4,981","7,172",55,"12,208","2,187","7,568","3,514","2,198",55,"5,767","1,801","6,827","1,467","4,974","6,441",386,"2,229",511,"1,585","2,096",133,37,"2,130","1,398",37,"1,435",695,"1,133",886,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,3,"6,452","2,707","2,526",0,"5,233","1,219","3,588","1,518","1,218",0,"2,736",852,"2,864","1,189","1,308","2,497",367,913,385,420,805,108,0,775,478,0,478,297,767,633,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,5,"2,024","1,179",649,0,"1,828",196,"1,318",803,363,0,"1,166",152,706,376,286,662,44,212,117,81,198,14,0,191,149,0,149,42,711,660,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,3,"6,623","2,740","2,847",12,"5,599","1,024","4,125","1,878","1,371",12,"3,261",864,"2,498",862,"1,476","2,338",160,805,268,488,756,49,4,695,400,4,404,291,619,534,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,9,"12,482","1,617","2,479",0,"4,096","8,386","10,101","1,016","1,374",0,"2,390","7,711","2,381",601,"1,105","1,706",675,763,187,367,554,209,0,"4,815",226,0,226,"4,589","2,015",502,"1,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,20,"16,646","11,451","4,109",35,"15,595","1,051","6,403","3,153","2,295",35,"5,483",920,"10,243","8,298","1,814","10,112",131,"3,526","2,763",716,"3,479",47,17,"2,007","1,485",17,"1,502",505,"1,597","1,449",148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,16,"10,845","3,511","2,947",57,"6,515","4,330","5,999","2,171","1,674",57,"3,902","2,097","4,846","1,340","1,273","2,613","2,233","1,603",445,419,864,739,15,"2,179","1,216",15,"1,231",948,910,646,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,3,"2,379",854,"1,497",0,"2,351",28,"1,061",548,485,0,"1,033",28,"1,318",306,"1,012","1,318",0,447,105,342,447,0,0,226,221,0,221,5,108,105,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,21,"13,058","5,186","5,001",32,"10,219","2,839","7,365","3,334","2,005",32,"5,371","1,994","5,693","1,852","2,996","4,848",845,"1,880",632,970,"1,602",278,26,"1,824","1,283",26,"1,309",515,964,785,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,11,"7,869","3,360","3,360",10,"6,730","1,139","3,605","2,000",924,10,"2,934",671,"4,264","1,360","2,436","3,796",468,"1,409",441,803,"1,244",165,10,"1,490","1,139",10,"1,149",341,644,553,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,8,"8,122","3,363","2,930",43,"6,336","1,786","4,427","1,909","1,338",43,"3,290","1,137","3,695","1,454","1,592","3,046",649,"1,196",472,522,994,202,33,"1,287",944,33,977,310,759,629,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,3,"2,743",578,603,0,"1,181","1,562","1,924",302,359,0,661,"1,263",819,276,244,520,299,264,83,78,161,103,0,357,130,0,130,227,339,215,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,1,"1,615",674,494,0,"1,168",447,890,370,192,0,562,328,725,304,302,606,119,238,98,103,201,37,0,145,96,0,96,49,262,156,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,12,"12,191","4,979","4,194",0,"9,173","3,018","8,361","3,530","2,362",0,"5,892","2,469","3,830","1,449","1,832","3,281",549,"1,293",497,611,"1,108",185,0,"1,479","1,077",0,"1,077",402,"1,084",907,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,1,799,461,307,0,768,31,539,306,207,0,513,26,260,155,100,255,5,82,47,33,80,2,0,64,61,0,61,3,119,114,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,7,"3,877","1,765","1,590",0,"3,355",522,"2,423","1,258",760,0,"2,018",405,"1,454",507,830,"1,337",117,482,174,271,445,37,0,535,416,0,416,119,305,243,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,3,"1,574",729,600,8,"1,337",237,943,479,253,8,740,203,631,250,347,597,34,236,82,141,223,13,3,326,277,3,280,46,173,143,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,20,"13,737","7,878","4,205",0,"12,083","1,654","6,520","3,989","1,282",0,"5,271","1,249","7,217","3,889","2,923","6,812",405,"2,572","1,407","1,004","2,411",161,0,877,617,0,617,260,567,488,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,2,"3,475",985,"1,123",0,"2,108","1,367","2,343",637,465,0,"1,102","1,241","1,132",348,658,"1,006",126,304,68,184,252,52,0,779,341,0,341,438,441,259,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,3,"11,205","1,381","6,467",0,"7,848","3,357","9,565","1,129","5,104",0,"6,233","3,332","1,640",252,"1,363","1,615",25,435,86,339,425,10,0,"1,415",253,0,253,"1,162","1,843","1,230",613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,32,"65,606","50,469","10,856",142,"61,467","4,139","26,293","15,205","6,945",142,"22,292","4,001","39,313","35,264","3,911","39,175",138,"12,332","10,977","1,306","12,283",49,124,"4,259","1,781",124,"1,905","2,354","5,857","5,046",811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,9,"12,569","6,190","4,452",87,"10,729","1,840","7,719","4,119","2,089",87,"6,295","1,424","4,850","2,071","2,363","4,434",416,"1,595",643,810,"1,453",142,57,"2,240","1,619",57,"1,676",564,"1,527","1,293",234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,8,"5,229","2,350",920,45,"3,315","1,914","3,317","1,712",482,45,"2,239","1,078","1,912",638,438,"1,076",836,665,229,131,360,305,19,620,376,19,395,225,474,350,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,8,"19,492","2,446","4,746",39,"7,231","12,261","10,731","1,796","1,819",39,"3,654","7,077","8,761",650,"2,927","3,577","5,184","2,811",221,943,"1,164","1,647",37,"2,601",646,37,683,"1,918","1,285",573,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,17,"14,516","6,878","6,381",159,"13,418","1,098","7,191","4,095","1,871",159,"6,125","1,066","7,325","2,783","4,510","7,293",32,"2,393",933,"1,447","2,380",13,150,"1,524",718,150,868,656,"1,441","1,274",167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,2,"4,149",548,846,10,"1,404","2,745","3,721",431,683,10,"1,124","2,597",428,117,163,280,148,149,31,67,98,51,10,"2,218",674,10,684,"1,534",106,33,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,1,"1,282",761,428,17,"1,206",76,704,442,173,17,632,72,578,319,255,574,4,216,105,110,215,1,17,86,43,17,60,26,91,87,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,4,"4,473","1,577","1,459",0,"3,036","1,437","3,194","1,118",827,0,"1,945","1,249","1,279",459,632,"1,091",188,474,183,220,403,71,0,674,392,0,392,282,687,497,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,1,731,371,296,0,667,64,445,218,163,0,381,64,286,153,133,286,0,87,42,45,87,0,0,109,45,0,45,64,135,118,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,10,"10,276","4,372","2,605",22,"6,999","3,277","7,623","3,337","1,701",22,"5,060","2,563","2,653","1,035",904,"1,939",714,956,367,298,665,291,22,"2,495","1,474",22,"1,496",999,"1,679","1,075",604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,17,"35,121","10,577","8,497",117,"19,191","15,930","24,078","7,028","4,104",117,"11,249","12,829","11,043","3,549","4,393","7,942","3,101","3,987","1,206","1,590","2,796","1,191",60,"6,512","2,517",60,"2,577","3,935","5,133","2,688","2,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,3,"3,284","1,448","1,225",49,"2,722",562,"1,926",962,382,49,"1,393",533,"1,358",486,843,"1,329",29,404,149,246,395,9,37,406,88,37,125,281,342,301,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,22,"9,080","4,510","2,875",54,"7,439","1,641","5,338","3,022",890,54,"3,966","1,372","3,742","1,488","1,985","3,473",269,"1,181",481,608,"1,089",92,32,"1,510",951,32,983,527,995,830,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,1,487,33,59,0,92,395,468,21,52,0,73,395,19,12,7,19,0,9,6,3,9,0,0,385,20,0,20,365,42,10,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,2,"1,220",611,461,6,"1,078",142,797,333,333,6,672,125,423,278,128,406,17,167,105,57,162,5,1,133,84,1,85,48,117,104,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
